,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
327,FOB JAGDALPUR,58317,642,0,"Jagdalpur,India",RT @nsitharamanoffc: Smt @nsitharaman virtually delivers the keynote address at Bank of America's flagship conference on the theme 'India:…
328,BREON OSAMA 😈,4821,0,0,,Bank of america whats up I see yll LURKIN lmao I hope yll got my money 😭😭😭😭🤣
329,PIB in Chandigarh,62527,9860,0,"Chandigarh, India",Global Supply chains should not only be based only on cost but also on trust. Trade must grow in a mutually benefic… https://t.co/TKGrTXRDwD
330,Bank of America Stadium WeatherSTEM,3738,217,0,"Charlotte, North Carolina",Weather summary for November 12 at Bank of America Stadium https://t.co/9sarXprR4r
331,Michael Galea,12585,906,0,Northern Nevada,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
332,Kenzie Saindore💋,6243,219,0,"Atlanta, GA",I’m not gonna lie the Arnold Palmer was the best but when I went to thumbs up restaurant their food wasn’t up to pa… https://t.co/EL51PjAEyF
333,LylianeM,600268,6920,0,Nueva York ,"RT @GaryHershorn: The Empire State Building, One Vanderbilt, Bank of America Bldg and One World Trade Center all light up in red, white and…"
334,R,8,0,0,,"RT @PastryEth: Yesterday, the Bank of America released a 141 page research report on the digital asset ecosystem titled: “Digital Assets Pr…"
335,Krystyne🇺🇲Nycole,3291,295,1,United States🇺🇸,@ArmyVet805 Unfortunately that's how it's been for years! Quite pathetic. Good to penalized the abusers of credit b… https://t.co/60zQfTOBPE
336,Sadia Raja,43417,328,0,,RT @AIexander_DEcon: @RWMaloneMD It is all linked to the planned economic reforms backed by the IMF &amp; World Bank and given oxygen via the U…
337,𝗚𝗿𝗮𝗻 𝗖𝘂𝗯𝗲,21889,857,0,,"RT @tezos: According to recent data, #Tezos has the second most developer interest in the industry.

Tezos is seeing explosive growth in ad…"
